Genres,revenue,Year
Comedy,81452156,1995
Comedy,76578911,1995
Action,187436818,1995
Action,64350171,1995
Comedy,107879496,1995
Action,10017322,1995
Action,35431113,1995
Comedy,115101622,1995
Action,30303072,1995
Comedy,27400000,1995
Action,122195920,1995
Comedy,6700000,1995
Comedy,17519169,1995
Action,2409225,1996
Comedy,28215918,1995
Action,11534477,1995
Comedy,718490,1995
Comedy,2042530,1996
Action,10300000,1996
Comedy,32,1996
Comedy,19800000,1995
Action,150270147,1996
Comedy,560069,1996
Comedy,41205099,1996
Action,34327391,1996
Action,210000000,1995
Comedy,6278139,1995
Comedy,14702438,1996
Action,9851610,1995
Comedy,209935,1995
Comedy,185260553,1996
Action,141407024,1995
Action,336529144,1995
Comedy,1275000,1995
Action,178104,1995
Action,152022101,1995
Action,157387195,1995
Action,366101666,1995
Action,127600435,1995
Action,7563728,1995
Comedy,17014653,1995
Action,66000000,1995
Comedy,69660733,1995
Comedy,472370,1995
Comedy,8349430,1995
Comedy,50892160,1995
Comedy,47774193,1995
Action,104324083,1995
Comedy,26488734,1995
Comedy,23450000,1995
Comedy,3151130,1994
Comedy,247275374,1994
Comedy,7294403,1994
Comedy,5887457,1994
Comedy,26325256,1995
Comedy,17689177,1995
Comedy,37000000,1994
Comedy,18137661,1994
Comedy,5,1995
Action,189859560,1995
Comedy,2832826,1995
Action,18552460,1995
Action,170362582,1994
Action,196567262,1994
Action,4064495,1995
Comedy,32648673,1995
Action,24048000,1995
Comedy,182057016,1995
Comedy,759393,1994
Comedy,107217396,1994
Action,215887717,1994
Comedy,677945399,1994
Comedy,254700832,1994
Comedy,1777020,1994
Action,61947267,1994
Comedy,51132598,1994
Action,350448145,1994
Action,378882411,1994
Comedy,953,1994
Action,29392418,1994
Action,99423521,1994
Action,36800000,1994
Comedy,21011500,1994
Action,15240435,1994
Action,119208989,1994
Comedy,3662459,1994
Comedy,7355425,1994
Comedy,28881266,1994
Comedy,8880705,1994
Action,121969216,1996
Action,15340000,1994
Comedy,11439193,1994
Comedy,24332324,1994
Comedy,7820688,1994
Action,7690013,1994
Action,16478900,1994
Comedy,1596687,1994
Comedy,3021629,1994
Comedy,97529550,1996
Comedy,442965,1995
Comedy,218626,1995
Comedy,4939939,1996
Comedy,65335,1996
Comedy,9789900,1996
Action,684351,1996
Comedy,10070000,1996
Action,57400547,1996
Action,3014000,1996
Action,335062621,1996
Action,494471524,1996
Action,3793614,1996
Action,2287714,1995
Action,14048372,1996
Comedy,58620973,1996
Action,816969268,1996
Comedy,102825796,1996
Comedy,25023434,1996
Action,242295562,1996
Action,159212469,1996
Comedy,9482579,1996
Action,17193231,1996
Comedy,116400000,1996
Action,309492681,1996
Comedy,21302121,1996
Action,258263,1996
Action,60209334,1996
Comedy,33459416,1996
Action,17917287,1996
Comedy,12643776,1996
Action,42277365,1996
Comedy,53854588,1996
Action,22611954,1996
Action,51702483,1996
Action,47267001,1996
Comedy,49620,1996
Action,22955097,1996
Comedy,34585416,1996
Comedy,1500000,1996
Action,2154540,1997
Comedy,4505922,1996
Action,1910,1996
Action,1179002,1997
Comedy,2503829,1996
Comedy,320689294,1996
Comedy,101371017,1996
Comedy,273552592,1996
Comedy,119718203,1996
Action,25804707,1997
Comedy,9381260,1997
Action,11466088,1997
Action,21890845,1996
Action,31987563,1997
Action,178127760,1997
Action,4529843,1997
Comedy,656747,1996
Comedy,36400360,1997
Comedy,20060051,1997
Comedy,41230799,1997
Comedy,302710615,1997
Action,7240837,1997
Action,17979739,1997
Action,28084357,1997
Comedy,29235353,1997
Comedy,7553105,1997
Comedy,34673095,1997
Action,224012234,1997
Action,164508066,1997
Comedy,44000,1996
Action,238207122,1997
Comedy,299288605,1997
Action,245676146,1997
Action,589390539,1997
Action,48169156,1997
Action,44862187,1997
Action,87840042,1997
Comedy,23144499,1997
Comedy,44332015,1997
Action,136982834,1997
Action,315156409,1997
Action,43312294,1997
Action,16000000,1997
Comedy,12021272,1997
Comedy,13960203,1997
Comedy,257850122,1997
Comedy,626057,1997
Action,6482195,1997
Action,5790448,1997
Comedy,251212670,1997
Action,10541523,1997
Comedy,58000000,1998
Action,51376861,1997
Comedy,264118201,1998
Action,159330280,1997
Comedy,13801755,1997
Comedy,10686841,1997
Comedy,177977226,1997
Comedy,31611225,1997
Comedy,79082515,1997
Comedy,122417389,1997
Comedy,39673162,1997
Comedy,46189568,1998
Comedy,55494066,1998
Comedy,13035599,1998
Comedy,64256513,1997
Action,7,1997
Comedy,17460020,1998
Action,310724,1997
Action,19204929,1998
Comedy,314178011,1997
Comedy,46905889,1998
Comedy,7985929,1998
Comedy,1980338,1998
Comedy,45779,1998
Comedy,3572443,1998
Action,27007143,1998
Comedy,565592,1998
Action,140464664,1998
Comedy,8026971,1998
Comedy,29202884,1998
Comedy,5879254,1998
Action,164000000,1998
Comedy,25605015,1998
Comedy,1334786,1997
Comedy,294456605,1998
Action,553799566,1998
Action,285444603,1998
Comedy,54682547,1998
Action,250288523,1998
Comedy,19000000,1998
Comedy,2020700,1998
Action,45610410,1994
Action,44547681,1998
Comedy,7027290,1998
Comedy,10224116,1998
Comedy,37672350,1998
Comedy,18253415,1998
Action,244386864,1998
Action,124494,1998
Action,41610884,1998
Comedy,2197921,1998
Comedy,30331165,1998
Comedy,2807390,1998
Action,14567883,1998
Comedy,229400000,1997
Comedy,12902790,1998
Comedy,185991646,1998
Action,250649836,1998
Comedy,9247881,1998
Comedy,9898412,1998
Comedy,17096053,1998
Comedy,250821495,1998
Comedy,202292902,1998
Comedy,21001563,1999
Action,4367497,1995
Comedy,103166989,1999
Action,13674,1998
Comedy,4398989,1999
Comedy,40263020,1999
Comedy,36850101,1999
Comedy,3076820,1999
Comedy,12827813,1999
Comedy,6852450,1999
Comedy,9090,1997
Comedy,176885658,1999
Action,15156200,1999
Comedy,3897569,1998
Action,13260050,1999
Action,463517383,1999
Comedy,53478166,1999
Comedy,29000000,1999
Comedy,10920544,1999
Comedy,6033999,1999
Comedy,73345029,1999
Comedy,94633,1999
Comedy,100,1999
Action,2856712,1999
Comedy,9016377,1999
Comedy,870751,1998
Comedy,258464,1998
Action,7267585,1998
Comedy,234801895,1999
Comedy,78599508,1998
Action,222104681,1999
Comedy,235483004,1999
Comedy,25059640,1999
Comedy,10571408,1999
Comedy,2049595,1999
Action,73648228,1999
Comedy,309457509,1999
Comedy,27500000,1999
Comedy,4217115,1999
Comedy,8946237,1999
Action,10667893,1999
Action,11263966,1999
Action,117758500,1999
Comedy,45703,1999
Action,108000000,1999
Comedy,1943649,1999
Action,3193102,1999
Comedy,58900031,1999
Comedy,2303,1998
Comedy,36911617,1999
Comedy,67872296,1999
Action,211989043,1999
Comedy,4488529,1999
Comedy,1281176,1999
Comedy,65535067,1999
Comedy,93700000,1999
Comedy,929606,1999
Comedy,47434430,1999
Comedy,90683916,1999
Comedy,59827328,2000
Comedy,8434146,1999
Action,30471,1999
Action,1631839,2000
Comedy,36037909,2000
Comedy,106371651,2000
Action,9000000,2000
Comedy,15427192,2000
Comedy,24362772,2000
Action,1702394,1994
Action,91036760,2000
Comedy,47126295,2000
Action,12372410,2000
Action,71000000,2000
Comedy,369975,2000
Comedy,37036004,2000
Comedy,28200000,1999
Action,40717,1999
Action,27728118,2000
Action,127666415,2000
Comedy,33771174,2000
Comedy,3728888,2000
Action,457640427,2000
Comedy,4000000,1999
Action,21400000,2000
Comedy,119754278,2000
Action,237202299,2000
Comedy,299792,2000
